@relation trainingSet

@attribute Document string
@attribute @@class@@ {AuthenticationBypass, CrossSiteScripting, DenialOfService, DirectoryTraversal, FileInclude, InformationDisclosure, Overflow, RemoteCodeExecution, SQLinjection,UnspecifiedVulnerability}

@data
"modul befor modul violat protocol ensur field sign which remot attack bypass authent leverag assert from provid ", AuthenticationBypass
"user modul befor might remot authent user bypass intend login access rule successfulli login unknown vector ", AuthenticationBypass
"openid modul befor allow remot openid user authent other user unspecifi vector ", AuthenticationBypass
"site document modul allow remot authent user gain privileg other user leverag access content permiss list tabl obtain session id from databas ", AuthenticationBypass
"modul befor modul violat protocol check reus valu which remot attack bypass authent leverag assert from provid ", AuthenticationBypass
"memcach allow remot attack bypass authent send invalid request sasl credenti send anoth request incorrect sasl credenti ", AuthenticationBypass
"befor allow remot attack bypass multipl recaptcha protect mechan against brute forc credenti guess provid correct respons singl recaptcha ", AuthenticationBypass
"core server compon befor when us ldap authent anonym bind remot attack bypass authent empti password ", AuthenticationBypass
"doe properli check replic privileg which remot authent user bypass intend backup restrict call function ", AuthenticationBypass
"mod_authz_svn befor when us apach httpd doe properli restrict anonym access which remot anonym user read hidden file path name ", AuthenticationBypass
"function ssh when mode us lack check refus deadlin x connect which make easier remot attack bypass intend access restrict connect outsid permit time window ", AuthenticationBypass
"unspecifi vulner manag compon remot attack affect unknown vector relat dm other ", AuthenticationBypass
"default configur ha fals valu webcontain properti which remot attack obtain privileg access unspecifi vector ", AuthenticationBypass
"class remot attack upload execut arbitrari script unspecifi vector ", AuthenticationBypass
"java gui web gui compon tsm backup archiv client aix linux solari window z os z os window aix linux linux z solari aix window linux mail when data protect lotu domino compon us local user bypass authent restor domino databas transact log backup unspecifi vector ", AuthenticationBypass
"function earlier when ldap us doe properli consid bind semant which remot attack bypass authent empti password ", AuthenticationBypass
"function doe properli determin valid authent cooki which make easier remot attack obtain access forg cooki ", AuthenticationBypass
"unspecifi vulner befor remot attack execut arbitrari code unknown vector ", AuthenticationBypass
"vty authent implement incorrectli reli linux io intern network configur which remot attack bypass authent leverag access sourc ip address aka bug id ", AuthenticationBypass
"through through when run doe correctli enforc user privileg which remot attack bypass access user profil permiss ", AuthenticationBypass
"core upload modul befor remot authent user bypass intend access restrict read file attach content unknown vector ", AuthenticationBypass
"node befor remot attack bypass node valid have unspecifi other impact unknown vector relat contribut modul ", AuthenticationBypass
"core blogapi modul befor doe properli valid unspecifi content field intern form which remot authent user bypass intend access restrict modifi field valu ", AuthenticationBypass
"doe properli maintain row secur statu cach plan which might attack bypass intend access restrict leverag session perform queri more than on role ", AuthenticationBypass
"file modul befor doe properli check permiss view file which remot authent user certain permiss bypass intend restrict read file attach file content file field ", AuthenticationBypass
"valid function core upload modul befor remot authent user bypass intend access restrict attach file content relat logic error ", AuthenticationBypass
"doe properli restrict access node list when us contribut node access which remot authent user access content overview page permiss read all publish node access admin content page ", AuthenticationBypass
"imag modul befor when privat file system us doe properli restrict access deriv imag which remot attack read deriv imag otherwis restrict imag unspecifi vector ", AuthenticationBypass
"user modul befor allow remot attack gain privileg leverag contribut custom code call function explicit categori load all role arrai ", AuthenticationBypass
"befor ignor access restrict submit button which might remot attack bypass intend access restrict leverag permiss submit form button ha access set fals server side form definit ", AuthenticationBypass
"upload modul befor doe properli support case insensit filenam handl databas configur which remot authent user bypass intend restrict download file upload differ file similar name ", AuthenticationBypass
"comment modul befor allow remot authent user certain privileg bypass intend access restrict reinstat remov comment craft url relat unpublish bypass issu ", AuthenticationBypass
"allow remot attack bypass intend restrict vector relat list show node lack join claus node tabl ", AuthenticationBypass
"server aka tivoli storag manag doe properli restrict us asnodenam option which remot attack read write backup data leverag proxi author ", AuthenticationBypass
"method befor doe consid whether caller author which remot authent user bypass intend restrict read write arbitrari applic data caus denial servic applic disrupt web applic set craft global context ", AuthenticationBypass
"befor doe properli gener csrf token valu which remot attack bypass intend access restrict predict valu ", AuthenticationBypass
"befor doe us constant time algorithm compar csrf token which make easier remot attack bypass intend access restrict measur time differ ", AuthenticationBypass
"session persist implement mishandl session attribut which remot authent user bypass intend restrict execut arbitrari code privileg context web applic place craft object session ", AuthenticationBypass
"function doe verifi access right ha been grant which remot attack access snapshot visit shadow copi directori ", AuthenticationBypass
"function befor doe properli check administr privileg dure creation machin account which remot authent user bypass intend access restrict leverag exist domain both dc window dc similar issu ", AuthenticationBypass
"doe properli handl connect method peer respons when configur which remot attack bypass intend restrict gain access backend proxi connect request ", AuthenticationBypass
"pl perl pl tcl befor befor befor do properli protect script execut differ sql user ident within same session which remot authent user gain privileg craft script code secur defin function demonstr redefin standard function redefin oper differ vulner than ", AuthenticationBypass
"make check command test suit earlier doe properli invok initdb specifi authent requir databas cluster us test which local user gain privileg leverag access cluster ", AuthenticationBypass
"insecur directori permiss rpm distribut local user gain privileg read plaintext password file ", AuthenticationBypass
"through authent databas user gain addit privileg knowledg backend protocol us craft set role other databas user differ vulner than ", AuthenticationBypass
"core server compon befor befor befor doe us appropri privileg reset role reset session author oper which remot authent user gain privileg note due incomplet fix ", AuthenticationBypass
"doe properli enforc admin option restrict which remot authent member role add remov arbitrari user role call set role command associ grant command ", AuthenticationBypass
"earlier local user bypass execut permiss check function us creat aggreg command ", AuthenticationBypass
"sshd us world writabl permiss tty devic which local user caus denial servic termin disrupt possibl have unspecifi other impact write devic demonstr write escap sequenc ", AuthenticationBypass
"doe properli verifi capabl which remot authent user bypass intend access restrict creat draft leverag subscrib role demonstr action ", AuthenticationBypass
"cross site script xss vulner project modul remot attack inject arbitrari web script html unknown attack vector ", CrossSiteScripting
"script xss vulner modul allow remot authent user permiss creat new menu inject arbitrari web script menu descript which properli handl menu administr overview ", CrossSiteScripting
"cross site script xss vulner modul possibl other version includ remot authent user administ languag permiss inject arbitrari web script html languag name nativ languag name field custom languag form ", CrossSiteScripting
"script xss vulner handler befor modul remot attack inject arbitrari web script vector involv whitelist element possibl relat tag ", CrossSiteScripting
"cross site script xss vulner allow remot attack inject arbitrari web script html unspecifi vector ", CrossSiteScripting
"doe delet all relat content when input format delet which prevent content from be properli filter remot attack conduct cross site script xss attack unspecifi vector ", CrossSiteScripting
"multipl cross site script xss through through remot attack inject arbitrari web script html variou html tag valu legend tag valu paramet us label input tag possibl due incomplet blacklist ", CrossSiteScripting
"multipl cross site script xss parser befor remot attack inject arbitrari web script html craft rss feed ", CrossSiteScripting
"cross site script xss vulner modul drupal remot attack inject arbitrari web script html unspecifi vector ", CrossSiteScripting
"script xss vulner befor allow remot authent user creat book content edit node book hierarchi permiss inject arbitrari web script book page titl ", CrossSiteScripting
"privat filesystem befor trust mime type sent web browser which remot authent user conduct cross site script xss attack upload file contain arbitrari web script html ", CrossSiteScripting
"cross site script xss vulner befor us vb remot attack inject arbitrari web script html craft utf byte sequenc content type meta tag which treat utf internet explor ", CrossSiteScripting

"cross site script xss befor allow remot authent user inject arbitrari web script html craft utf byte sequenc treat utf internet explor which properli handl html export book featur remot authent user administ taxonomi permiss inject arbitrari web script html help text arbitrari vocabulari note vector exist becaus incomplet fix ", CrossSiteScripting
"script xss vulner modul remot attack inject arbitrari web script site variabl relat lack escap variabl tabl ", CrossSiteScripting
"disput cross site script xss vulner modul remot attack inject arbitrari web script html year paramet eventcaland note issu ha been disput secur team mai site specif so cve reject futur ", CrossSiteScripting
"interpret conflict befor when internet us remot attack conduct cross site script xss attack invalid utf byte sequenc which process utf s html filter process utf internet effect remov charact from document defeat html protect mechan ", CrossSiteScripting
"script xss vulner modul befor remot authent user certain permiss inject arbitrari web script descript field ", CrossSiteScripting
"script xss vulner modul befor remot attack inject arbitrari web script vector relat css ", CrossSiteScripting
"cross site script xss vulner befor when run older version jqueri vulner remot attack inject arbitrari web script html vector involv unspecifi javascript function us select dom element ", CrossSiteScripting
"multipl cross site script xss befor remot attack inject arbitrari web script html some server variabl includ remot authent administr inject arbitrari web script html custom content type name ", CrossSiteScripting
"multipl cross site script xss befor remot authent user certain privileg inject arbitrari web script html action descript action messag node taxonomi term relat action featur trigger modul ", CrossSiteScripting
"cross site script xss vulner modul earlier remot attack inject arbitrari web script html unspecifi vector ", CrossSiteScripting
"script xss vulner modul remot attack inject arbitrari web script unspecifi vector relat taxonomi inform ", CrossSiteScripting
"script xss vulner modul allow remot authent user administ site wide contact form permiss inject arbitrari web script contact categori name ", CrossSiteScripting
"cross site script xss vulner portal login page cisco adapt secur applianc asa devic remot attack inject arbitrari web script html craft url aka bug id ", CrossSiteScripting
"cross site script xss vulner allow remot attack inject arbitrari web script html craft schema brows url ", CrossSiteScripting
"multipl cross site script xss allow remot attack inject arbitrari web script html craft field mishandl dure render analysi page relat schema browser page relat ", CrossSiteScripting
"script xss vulner editor  allow remot authent user inject arbitrari web script queri trigger json data respons ", CrossSiteScripting
"cross site script xss befor remot authent user inject arbitrari web script tabl name set valu search queri hostnam locat header ", CrossSiteScripting
"script xss vulner function allow remot authent user inject arbitrari web script tabl name normal page ", CrossSiteScripting
"cross site script xss vulner befor remot authent user inject arbitrari web script html craft data from oauth provid ", CrossSiteScripting
"cross site script xss vulner allow remot attack inject arbitrari web script html rest prototyp session check ", CrossSiteScripting
"script xss vulner function allow remot attack inject arbitrari web script access helper titl ", CrossSiteScripting
"script xss vulner form function class allow remot attack inject arbitrari web script widget titl ", CrossSiteScripting
"script xss vulner legaci theme preview implement allow remot attack inject arbitrari web script craft string ", CrossSiteScripting
"cross site script xss vulner uddi servic compon remot attack inject arbitrari web script html search paramet aka uddi servic elev privileg vulner ", CrossSiteScripting
"cross site script xss vulner function allow remot attack inject arbitrari web script html unspecifi vector ", CrossSiteScripting
"through us doe properli gener document which remot attack conduct cross site script xss attack craft url ", CrossSiteScripting
"cross site script xss vulner formerli moxiecod shim us other product remot attack execut same origin javascript function target paramet demonstr execut certain click function relat ", CrossSiteScripting
"unspecifi vulner earlier remot administr affect avail vector relat server log ", DenialOfService
"unspecifi vulner earlier earlier remot administr affect avail vector relat server privileg ", DenialOfService
"function doe valid tiff start data which remot attack caus denial servic read possibl have unspecifi other impact craft header data ", DenialOfService
"function bio implement h remot attack caus denial servic memori consumpt short invalid encod ", DenialOfService
"function h remot attack obtain sensit inform from process stack memori caus denial servic buffer over read craft ebcdic data ", DenialOfService
"through through through linux unix window remot authent user caus denial servic daemon crash craft drda messag ", DenialOfService
"fwdstate method doe properli handl ssl handshak error when built openssl option which remot attack caus denial servic applic crash plaintext http messag ", DenialOfService
"password hash api befor secur password hash aka phpass modul remot attack caus denial servic cpu memori consumpt craft request ", DenialOfService
"imag modul befor remot attack caus denial servic cpu disk space consumpt larg number new deriv request ", DenialOfService
"multisit featur befor allow remot attack caus denial servic craft http host header relat determin which configur file us ", DenialOfService
"function pageinspect extens attack bypass intend access restrict consequ obtain sensit server memori inform caus denial servic server crash craft bytea valu brin index page ", DenialOfService
"algorithm complex vulner function text filter system befor remot authent user certain role caus denial servic cpu consumpt long email address ", DenialOfService
"name befor when dn cooki enabl remot attack caus denial servic insist assert failur daemon exit malform packet more than on cooki option ", DenialOfService
"name allow remot attack caus denial servic assert failur daemon exit craft signatur record dname record relat ", DenialOfService
"name doe properli handl dname record when pars fetch repli messag which remot attack caus denial servic assert failur daemon exit malform packet rndc aka control channel interfac relat ", DenialOfService
"function phar extens allow remot attack obtain sensit inform from process memori caus denial servic read applic crash place pk signatur invalid locat ", DenialOfService
"intern dn server befor when ad dc configur remot authent user caus denial servic read possibl obtain sensit inform from process memori upload craft dn txt record ", DenialOfService
"microsoft net framework doe prevent recurs compil xslt transform which remot attack caus denial servic perform degrad craft xslt data aka net framework stack overflow denial servic vulner ", DenialOfService
"resolv nginx doe properli limit cname resolut which remot attack caus denial servic worker process resourc consumpt vector relat arbitrari name resolut ", DenialOfService
"when nxdomain redirect enabl remot attack caus denial servic requir assert failur daemon exit craft flag valu queri ", DenialOfService
"remot attack caus denial servic infinit loop buffer overflow crash larg unicod charact rang regular express ", DenialOfService
"memori leak implement befor s g remot attack caus denial servic memori consumpt provid invalid usernam connect attempt relat ", DenialOfService
"fmtstr function befor s g improperli calcul string length which remot attack caus denial servic overflow read possibl have unspecifi other impact long string demonstr larg amount data differ vulner than ", DenialOfService
"function befor s g doe verifi certain memori alloc succe which remot attack caus denial servic write memori consumpt possibl have unspecifi other impact long string demonstr larg amount data differ vulner than ", DenialOfService
"befor reli http statu code after respons pars failur which remot http server caus denial servic assert failur daemon exit malform respons ", DenialOfService
"resolv nginx allow remot attack caus denial servic invalid pointer derefer worker process crash craft udp dn respons ", DenialOfService
"unspecifi vulner allow remot authent user affect avail unknown vector relat optim ", DenialOfService
"unspecifi vulner allow remot authent user affect avail unknown vector relat partit ", DenialOfService
"unspecifi vulner earlier remot authent user affect avail unknown vector relat replic ", DenialOfService
"function allow remot attack caus denial servic read applic crash craft network traffic ", DenialOfService
"befor remot authent user caus denial servic insist assert failur daemon exit malform address prefix list apl record ", DenialOfService
"name befor when debug log enabl remot attack caus denial servic requir assert failur daemon exit daemon crash possibl have unspecifi other impact opt data ec option ", DenialOfService
"function remot attack obtain sensit inform caus denial servic read applic crash larg argument imagerot function ", DenialOfService
"aka mdn gatewai allow remot attack caus denial servic devic reload send malform mdn udp packet over aka bug id ", DenialOfService
"radiu client implement when share radiu secret configur remot radiu server caus denial servic devic reload malform answer aka bug id ", DenialOfService
"state machin through through remot attack caus denial servic ipsec connect termin craft packet tunnel endpoint aka bug id ", DenialOfService
"function memcach other version when run verbos mode remot attack caus denial servic segment fault request delet kei which doe account lack null termin kei trigger buffer over read when print stderr differ vulner than ", DenialOfService
"memcach when run verbos mode remot attack caus denial servic crash request trigger unbound kei print dure log relat issu quickli grep out sourc tree differ vulner than ", DenialOfService
"multipl integ signed error function earlier remot attack caus denial servic crash larg bodi length valu packet ", DenialOfService
"function memcach other version when run verbos mode remot attack caus denial servic segment fault request delet kei which doe account lack null termin kei trigger buffer over read when print stderr ", DenialOfService
"function ldb us ad ldap server befor mishandl certain which remot attack caus denial servic infinit loop craft packet ", DenialOfService
"ldap server ad domain control befor doe check return valu ensur success memori alloc which remot attack caus denial servic memori consumpt daemon crash craft packet ", DenialOfService
"name allow remot attack caus denial servic requir assert failur daemon exit malform class attribut ", DenialOfService
"error function allow remot attack caus denial servic uniniti pointer derefer applic crash includ filenam zip phar archiv ", DenialOfService
"function remot attack caus denial servic null pointer derefer applic crash phar file craft tar archiv entri which link indic refer file doe exist ", DenialOfService
"befor t p d when us multi thread client write psk ident hint incorrect data structur which remot server caus denial servic race condit doubl free craft messag ", DenialOfService
"function befor e remot server caus denial servic segment fault zero p valu anonym diffi hellman dh messag ", DenialOfService
